AccountId,AccountNumber,AccountType,ProductCode,BranchCode,CIF Number,Balance,AccontOpenDate,Status,ATMCardNumber,ATMPin,NB_UserId,NB_Password
,10010342785108,Current,Current,342,3480612853,317668,2/13/2018,Open,363346784478119,9379,100105108,Bank&342
,10010342945385,Savings,Savings,343,2706760502,1984308,3/31/2019,Open,277331728040508,5681,100105385,Bank*456
,10010342742219,DEMAT,DEMAT,344,4081506720,1552207,10/14/2019,Open,336045654676095,1469,100102219,Bank@3
,10010342753785,Recurring Deposit,Recurring Deposit,345,4610148589,1578133,12/3/2018,Open,297539012610153,1560,100103785,Bank&342
,10010342866755,DEMAT,DEMAT,346,2887064788,1438857,10/17/2019,Open,352503691260022,6378,100106755,Bank@3
,10010342755120,Savings,Savings,347,6013411591,1013843,1/8/2019,Closed,216311377223524,3782,100105120,Bank^2098
,10010342876581,DEMAT,DEMAT,348,2777363483,1650646,2/25/2018,Open,345032997338176,5554,100106581,Bank&342
,10010342758711,Savings,Savings,349,1181136264,704877,4/28/2019,Open,254709917153432,8033,100108711,Bank&342
,10010342883133,Savings,Savings,350,2560631124,1516772,7/12/2018,Open,314267565779240,2840,100103133,Bank*456
,10010342979100,Current,Current,351,6681054500,1829856,1/12/2018,Open,361796268108499,4944,100109100,Bank&342
,10010342755006,Fixed Deposit,Fixed Deposit,352,1036680261,1434367,3/20/2019,Open,217100354524315,1197,100105006,Bank^2098
,10010342717005,Fixed Deposit,Fixed Deposit,353,9892459601,1377703,7/16/2019,Open,216694767685688,6178,100107005,Bank&342
,10010342681184,Savings,Savings,354,5318140446,1746093,11/14/2019,Open,362742244669641,4869,100101184,Bank*456
,10010342938195,Savings,Savings,355,1790893315,850463,11/23/2019,Open,344728608967412,8745,100108195,Bank*456
,10010342815309,Fixed Deposit,Fixed Deposit,356,8849730815,585833,7/5/2019,Open,320912841300101,3535,100105309,Bank*456
,10010342785626,Savings,Savings,357,6070440844,1653284,6/7/2019,Open,342030793154419,1831,100105626,Bank^2098
,10010342874559,Current,Current,358,8401774431,1276001,2/4/2018,Open,227656559670708,7872,100104559,Bank*456
,10010342894829,Current,Current,359,5672679068,1734021,11/11/2018,Closed,355413408714764,5799,100104829,Bank@3
,10010342977353,Savings,Savings,360,6639552098,1878328,11/14/2019,Open,265663944854769,6751,100107353,Bank^2098
,10010342980560,Recurring Deposit,Recurring Deposit,361,6172796717,712010,10/15/2019,Open,281997477516907,6874,100100560,Bank#0985
,10010342947441,Savings,Savings,362,4056009049,1092328,8/11/2018,Open,232651125890758,1633,100107441,Bank&342
,10010342846033,DEMAT,DEMAT,363,8649923314,1376493,6/13/2019,Open,315037694020860,8762,100106033,Bank&342
,10010342757147,DEMAT,DEMAT,364,1816061504,238200,7/26/2018,Open,309220321032591,3504,100107147,Bank*456
,10010342856666,Savings,Savings,365,3756164331,1567796,8/24/2018,Closed,333286038837523,7207,100106666,Bank*456
,10010342684776,Current,Current,366,7205312587,1408458,8/3/2018,Open,321374903614985,4503,100104776,Bank&342
,10010342849733,DEMAT,DEMAT,367,9161869580,1034461,3/24/2018,Open,294560852704377,5729,100109733,Bank#0985
,10010342886195,Savings,Savings,368,9770106721,312330,2/5/2018,Open,341065763480307,1593,100106195,Bank*456
,10010342821404,Savings,Savings,369,4793866063,61237,8/16/2018,Open,337218514847371,4848,100101404,Bank@3
,10010342986439,Current,Current,370,1336659446,555780,9/9/2019,Open,320009939521134,7451,100106439,Bank&342
,10010342955241,Recurring Deposit,Recurring Deposit,371,1936026621,1272490,12/13/2018,Open,318326531140031,4875,100105241,Bank^2098
,10010342870638,Recurring Deposit,Recurring Deposit,372,9226596468,747736,10/23/2018,Open,244030510448628,1587,100100638,Bank*456
,10010342705536,Fixed Deposit,Fixed Deposit,373,8976742849,1483845,1/5/2019,Open,295364189686340,2224,100105536,Bank^2098
,10010342879094,Current,Current,374,9882265795,376324,8/5/2018,Open,335414376316539,4263,100109094,Bank^2098
,10010342715682,Recurring Deposit,Recurring Deposit,375,7290964797,1701149,12/11/2018,Open,362139075179229,2907,100105682,Bank^2098
,10010342854755,Current,Current,376,8077140468,902555,5/11/2019,Open,230876137806389,2148,100104755,Bank#0985
,10010342712510,DEMAT,DEMAT,377,2593774842,1246746,5/10/2019,Closed,276585576371291,8146,100102510,Bank@3
,10010342768981,Recurring Deposit,Recurring Deposit,378,9079926559,628074,11/28/2019,Open,250632624853624,1764,100108981,Bank@3
,10010342873904,DEMAT,DEMAT,379,4317306714,136643,7/31/2019,Open,280683150659539,2485,100103904,Bank@3
,10010342868725,DEMAT,DEMAT,380,1660770708,1422186,10/21/2018,Open,258840476936249,2510,100108725,Bank#0985
,10010342904348,Fixed Deposit,Fixed Deposit,381,7016520929,931680,5/5/2019,Open,267196622778478,6640,100104348,Bank*456
,10010342726458,Fixed Deposit,Fixed Deposit,382,8135214225,192057,6/23/2019,Open,217880705545153,7625,100106458,Bank^2098
,10010342902136,Recurring Deposit,Recurring Deposit,383,7363842025,1316625,11/14/2019,Closed,264325179121723,3537,100102136,Bank&342
